CustomerID,CustomerName,City,SignupDate,CustomerSegment
CUSTXAJI0Y6DPB,Gaurav Dara,Kolkata,2025-10-10,Regular
CUSTHSAHXTHV3A,Yochana Ratta,Hyderabad,2024-03-16,Regular
CUST3ZMF8MDD4V,Samar Rajagopalan,Noida,2024-03-18,Regular
CUST30T9NT3W5U,Udant Chandra,Pune,2024-07-04,Regular
CUSTZBIKCIDKWN,Udyati Chaudhari,Kolkata,2025-11-16,Regular
CUSTNHJ7XVG0FN,Netra Kadakia,Bangalore,2024-04-21,Regular
CUST9XUY41IBLJ,Ucchal Pingle,Kolkata,2023-07-25,Occasional
CUSTH75LXO6QJI,Turvi Buch,Noida,2024-01-10,Regular
CUSTUJV6OH9SDB,Omya Dhar,Pune,2026-04-17,Regular
CUSTDW2PCN9T84,Fiyaz Rao,Hyderabad,2026-04-15,Regular
CUSTAZYTJXEPQ8,Warda Subramaniam,Noida,2024-09-11,Regular
CUST5JSG65KXVF,Priya Din,Noida,2025-04-27,Regular
CUST1T2TALA753,Baljiwan Mann,Bangalore,2025-03-12,Regular
CUSTLC58DRC11E,Wakeeta Sundaram,Chennai,2025-02-01,Regular
CUSTRTJ5PHT0HL,Ishanvi Setty,Pune,2024-12-23,Occasional
CUST9XPSEIMVIH,Damyanti Barman,Mumbai,2023-10-05,Regular
CUSTCWI64CIYHE,Praneel Prasad,Noida,2025-12-17,Premium
CUST7UR23GDPPQ,Jacob Mann,Chennai,2024-08-04,Regular
CUST0Y9DOM5IGQ,Praneel Samra,Mumbai,2025-01-27,Premium
CUSTPKI7P5TB94,Krish De,Pune,2023-08-13,Regular
CUST874FRHOCN9,Azaan Pathak,Delhi,2025-02-01,Regular
CUSTJ2QP89UZFK,Geetika Sarna,Chennai,2025-03-13,Regular
CUST8UT0CVS4F8,Lakshit Krishna,Gurgaon,2026-01-04,Occasional
CUSTCGVYIE6IVW,Luke Bhatia,Delhi,2024-09-19,Occasional
CUSTPVS7HZIOYK,Ekanta Nadkarni,Bangalore,2024-09-09,Premium
CUSTL1CQ99CHJ7,Jeremiah Sura,Kolkata,2025-12-14,Regular
CUST55NF4ZW9XA,Aarnav Wason,Hyderabad,2025-09-16,Occasional
CUST3KX7EEDTJV,Nakul Boase,Gurgaon,2024-04-01,Regular
CUSTZHWJR64DPJ,Chakradhar Savant,Bangalore,2023-08-16,Regular
CUSTA1WJ0TPAC5,Teerth Bose,Pune,2024-02-12,Occasional
CUST6T4UFEL624,Wishi Sarkar,Bangalore,2024-01-30,Regular
CUST6HID25OWF7,Charan Karpe,Kolkata,2023-07-12,Regular
CUST5935A0L725,Ekta Pal,Pune,2025-07-06,Occasional
CUST3J2D54I3QK,Aachal Nori,Gurgaon,2026-02-13,Occasional
CUST2IAGL58KXO,Zaid Nazareth,Kolkata,2025-05-11,Regular
CUST9T7E8G8JDP,Yachana Gaba,Mumbai,2024-11-29,Regular
CUST0LVSNUJZA7,Warda Barman,Hyderabad,2025-05-12,Regular
CUSTTZ0YNCXLL4,Abha Baral,Gurgaon,2023-09-28,Regular
CUSTZKLOOKEP7Y,Nikita Mand,Mumbai,2024-10-15,Regular
CUST6WKTAKPUXQ,Harsh Kumar,Gurgaon,2024-03-12,Regular
CUSTPHR62GDSWM,Yuvraj Bhatti,Pune,2025-01-31,Occasional
CUST31YIHAIR4C,Ira Dube,Mumbai,2023-12-10,Occasional
CUSTOWGZRIXA11,Quincy Hegde,Hyderabad,2023-06-11,Regular
CUSTDPG8SBI4Q2,Veer Vig,Kolkata,2024-10-05,Regular
CUSTY9V86WZS3T,Max Bhagat,Noida,2023-10-22,Regular
CUST60RJIW1SWJ,Anita Sane,Bangalore,2025-04-02,Occasional
CUSTCKJLTEIYZC,Zaitra Bains,Delhi,2024-03-14,Regular
CUSTOTOHP6VZ41,Urishilla Vyas,Hyderabad,2026-03-21,Occasional
CUSTNAM148P0TV,Dalbir Saraf,Mumbai,2024-07-13,Regular
CUSTHHPBMYOFQE,Sanya Char,Noida,2024-05-31,Regular
CUSTWAOUAXEQBN,Triya Batra,Hyderabad,2024-09-30,Occasional
CUSTHL1N13JCAT,Champak Bera,Mumbai,2024-04-13,Regular
CUST9MX2X18HAF,Gayathri Sha,Chennai,2025-07-09,Premium
CUSTEYUHZ1GV0E,Aayush Chatterjee,Chennai,2025-01-12,Regular
CUST38DALY8OZC,Pahal Raja,Hyderabad,2025-03-31,Occasional
CUSTYWD14VE92M,Laksh Deep,Chennai,2024-11-26,Regular
